status,latitude,longitude,device_configuration,data_type,time_of_day,weather,obstructions,obstructions_other,notes,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course,created_at,updated_at
Benchmark Master,27.93366797,-82.76445938,Benchmark,Point,,,,,,0,0,,,0,2014-06-20 14:35:12 UTC,2014-06-25 13:11:47 UTC
Benchmark Master,27.93365582,-82.76578976,Benchmark,Point,,,,,,0,0,,,0,2014-06-20 14:35:36 UTC,2014-06-20 14:52:58 UTC
Benchmark Master,27.93330377,-82.7657041,Benchmark,Point,,,,,,,,,,,2014-06-20 14:37:21 UTC,2014-06-20 14:50:06 UTC
Benchmark Master,27.93263314,-82.76427448,Benchmark,Point,,,,,,0,0,,,0,2014-06-20 14:37:51 UTC,2014-06-25 13:19:56 UTC
Benchmark Master,27.9329104,-82.7642557,Benchmark,Point,,,,,,0,0,,,0,2014-06-20 14:38:18 UTC,2014-06-25 13:15:00 UTC
Onboard GPS,27.93328844,-82.76568649,iPhone 5S (Onboard),Point,8:57,Clear,Small Buildings,,,11.19140053,10,3,0.230000004,27.7734375,2014-06-25 12:57:22 UTC,2014-06-25 12:57:22 UTC
Onboard GPS,27.93333098,-82.76567183,iPhone 5S (Onboard),Point,8:57,Clear,Small Buildings,,,13.03264809,10,3,0.400000006,27.7734375,2014-06-25 12:57:46 UTC,2014-06-25 12:57:46 UTC
Onboard GPS,27.93325223,-82.76564023,iPhone 5S (Onboard),Point,8:58,Clear,Small Buildings,,,10.4389286,10,3,0,27.7734375,2014-06-25 12:58:10 UTC,2014-06-25 12:58:10 UTC
Onboard GPS,27.93336874,-82.7655606,iPhone 5S (Onboard),Point,8:58,Clear,Small Buildings,,,11.33013344,10,3,0,31.9921875,2014-06-25 12:58:24 UTC,2014-06-25 12:58:24 UTC
Onboard GPS,27.93335927,-82.76559253,iPhone 5S (Onboard),Point,8:58,Clear,Small Buildings,,,9.421319962,10,3,0.200000003,31.9921875,2014-06-25 12:59:00 UTC,2014-06-25 12:59:00 UTC
Onboard GPS,27.93363516,-82.76578842,iPhone 5S (Onboard),Point,9:05,Clear,,,,15.42022133,5,3,0,120.5859375,2014-06-25 13:05:51 UTC,2014-06-25 13:05:51 UTC
Onboard GPS,27.93366357,-82.76577626,iPhone 5S (Onboard),Point,9:06,Clear,,,,13.05236244,5,4,0,120.5859375,2014-06-25 13:06:32 UTC,2014-06-25 13:06:32 UTC
Onboard GPS,27.93366931,-82.7657833,iPhone 5S (Onboard),Point,9:06,Clear,,,,15.79012489,5,3,0,120.5859375,2014-06-25 13:06:56 UTC,2014-06-25 13:06:56 UTC
Onboard GPS,27.93366445,-82.7657776,iPhone 5S (Onboard),Point,9:07,Clear,,,,11.9432621,5,4,0,120.5859375,2014-06-25 13:07:23 UTC,2014-06-25 13:07:23 UTC
Onboard GPS,27.93366445,-82.7657776,iPhone 5S (Onboard),Point,9:07,Clear,,,,13.69860268,10,3,0,120.5859375,2014-06-25 13:07:51 UTC,2014-06-25 13:07:51 UTC
Onboard GPS,27.9337339,-82.76447707,iPhone 5S (Onboard),Point,9:09,Light Clouds,,,,9.859430313,5,3,0.25999999,329.0625,2014-06-25 13:10:00 UTC,2014-06-25 13:10:00 UTC
Onboard GPS,27.93371047,-82.76446475,iPhone 5S (Onboard),Point,9:10,Light Clouds,,,,8.551172256,5,4,0,329.0625,2014-06-25 13:10:31 UTC,2014-06-25 13:10:31 UTC
Onboard GPS,27.93366508,-82.76445402,iPhone 5S (Onboard),Point,9:12,Light Clouds,,,,11.4755497,5,3,0,329.0625,2014-06-25 13:12:13 UTC,2014-06-25 13:12:13 UTC
Onboard GPS,27.93371047,-82.76446466,iPhone 5S (Onboard),Point,9:12,Light Clouds,,,,10.96700478,5,3,0,329.0625,2014-06-25 13:12:23 UTC,2014-06-25 13:12:23 UTC
Onboard GPS,27.93371047,-82.76446466,iPhone 5S (Onboard),Point,9:12,Light Clouds,,,,8.895990372,5,3,0,329.0625,2014-06-25 13:12:56 UTC,2014-06-25 13:12:56 UTC
Onboard GPS,27.93292529,-82.76425763,iPhone 5S (Onboard),Point,9:17,Light Clouds,"Small Buildings,Light Trees",,,9.392694473,5,3,0.379999995,199.6875,2014-06-25 13:17:22 UTC,2014-06-25 13:17:22 UTC
Onboard GPS,27.93291448,-82.76429501,iPhone 5S (Onboard),Point,9:17,Light Clouds,"Light Trees,Small Buildings",,,8.695947647,5,3,0.200000003,199.6875,2014-06-25 13:17:35 UTC,2014-06-25 13:17:35 UTC
Onboard GPS,27.93291339,-82.76428747,iPhone 5S (Onboard),Point,9:17,Light Clouds,"Light Trees,Small Buildings",,,8.127252579,10,3,0,199.6875,2014-06-25 13:17:47 UTC,2014-06-25 13:17:47 UTC
Onboard GPS,27.93293322,-82.76424179,iPhone 5S (Onboard),Point,9:18,Light Clouds,"Light Trees,Small Buildings",,,8.751642227,10,3,0,-1,2014-06-25 13:18:11 UTC,2014-06-25 13:18:11 UTC
Onboard GPS,27.93293322,-82.76424179,iPhone 5S (Onboard),Point,9:18,Light Clouds,"Light Trees,Small Buildings",,,8.69036293,10,3,0,-1,2014-06-25 13:18:45 UTC,2014-06-25 13:18:45 UTC
Onboard GPS,27.93264802,-82.76422528,iPhone 5S (Onboard),Point,9:20,Light Clouds,Dense Trees,,,6.697778702,5,3,0.469999999,80.859375,2014-06-25 13:21:00 UTC,2014-06-25 13:21:00 UTC
Onboard GPS,27.93263101,-82.7642324,iPhone 5S (Onboard),Point,9:21,Light Clouds,Dense Trees,,,6.981348038,5,3,0.310000002,80.859375,2014-06-25 13:21:09 UTC,2014-06-25 13:21:09 UTC
Onboard GPS,27.93262665,-82.76424523,iPhone 5S (Onboard),Point,9:21,Light Clouds,Dense Trees,,,6.826013565,5,3,0,80.859375,2014-06-25 13:21:20 UTC,2014-06-25 13:21:20 UTC
Onboard GPS,27.93262665,-82.76424523,iPhone 5S (Onboard),Point,9:21,Light Clouds,Dense Trees,,,6.553552628,10,3,0,80.859375,2014-06-25 13:21:45 UTC,2014-06-25 13:21:45 UTC
Onboard GPS,27.93262665,-82.76424523,iPhone 5S (Onboard),Point,9:21,Light Clouds,Dense Trees,,,6.487512589,10,3,0,-1,2014-06-25 13:22:02 UTC,2014-06-25 13:22:02 UTC
External GPS,27.93336,-82.7656949,Nexus 7 w/ Dual XGPS-150,Point,9:00,Clear,Small Buildings,,,12.8,3.900000095,,,196,2014-06-25 13:00:37 UTC,2014-06-25 13:00:37 UTC
External GPS,27.933333,-82.765696,Nexus 7 w/ Dual XGPS-150,Point,9:01,Clear,Small Buildings,,,13.7,3.900000095,,,191,2014-06-25 13:01:31 UTC,2014-06-25 13:01:31 UTC
External GPS,27.933318,-82.76567,Nexus 7 w/ Dual XGPS-150,Point,9:01,Clear,Small Buildings,,,14.8,3.900000095,,,191,2014-06-25 13:01:45 UTC,2014-06-25 13:01:52 UTC
External GPS,27.933326,-82.765646,Nexus 7 w/ Dual XGPS-150,Point,9:02,Clear,Small Buildings,,,17.8,3.900000095,,,191,2014-06-25 13:02:07 UTC,2014-06-25 13:02:07 UTC
External GPS,27.933326,-82.765655,Nexus 7 w/ Dual XGPS-150,Point,9:02,Clear,Small Buildings,,,18.2,3.900000095,,,191,2014-06-25 13:02:26 UTC,2014-06-25 13:02:26 UTC
External GPS,27.933668,-82.765775,Nexus 7 w/ Dual XGPS-150,Point,9:05,Clear,,,,13.6,3.900000095,,,278,2014-06-25 13:05:30 UTC,2014-06-25 13:05:57 UTC
External GPS,27.93367,-82.765778,Nexus 7 w/ Dual XGPS-150,Point,9:06,Clear,,,,12.4,3.900000095,,,278,2014-06-25 13:06:14 UTC,2014-06-25 13:06:14 UTC
External GPS,27.933668,-82.76578,Nexus 7 w/ Dual XGPS-150,Point,9:06,Clear,,,,12.6,3.900000095,,,278,2014-06-25 13:06:44 UTC,2014-06-25 13:06:44 UTC
